datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
8/28/2009 20:30,spokane valley,wa,us,formation,180,3 minutes,V-shaped formation of lights over Spokane&#44 WA,12/12/2009,47.6733333,-117.2383333
8/28/2009 21:15,ventura,ia,us,unknown,60,1 minute,Craft with flashing white&#44 red and blue lights hovering low over town making no noise.,12/12/2009,43.1263889,-93.4775
8/28/2010 6:00,salem,in,us,changing,2700,45 minutes,Pulsing&#44 shape-shifting UFO in Southern Indiana.  ((NUFORC Note:  Sirius is to the left of&#44 and below&#44 Orion.  PD)),8/30/2010,38.6055556,-86.1011111
8/28/2010 11:45,des moines,ia,us,light,600,aprox. 10 minutes,Solid and silent red light flying over Des Moines&#44 Iowa.,11/21/2010,41.6005556,-93.6088889
8/28/2010 20:00,los angeles,ca,us,other,300,5 minutes,Explanation of possible sightings in Los Angeles,8/30/2010,34.0522222,-118.2427778
8/28/2011 3:30,charleston,sc,us,oval,1800,30/+ mins,Slow&#44 moving&#44 multicolored object above the sky in Charleston&#44 SC.,10/10/2011,32.7763889,-79.9311111
8/28/2011 14:27,nissequogue,ny,us,sphere,180,3 minutes,round silver object hovering over long island bay during hurricane Irene,10/10/2011,40.9038889,-73.1983333
8/28/2011 21:09,seattle,wa,us,light,180,3 minutes,Seatte,10/10/2011,47.6063889,-122.3308333
8/28/2012 1:56,miami,fl,us,fireball,5,5 seconds,Reddish orange ball appears in the night sky at tremendous speed.,9/24/2012,25.7738889,-80.1938889
8/28/2012 2:30,tulsa,ok,us,disk,7200,1-2 hours,Three stationary multi-colored lights in triangle formation over Tulsa&#44 Ok,9/24/2012,36.1538889,-95.9925
8/28/2013 10:30,kapoho,hi,us,light,600,10 minutes,Slow moving star like light in the sky at 10:30am vanishes.,8/30/2013,19.5061111,-154.8486111
8/29/2001 21:20,marietta,oh,us,triangle,60,1 minute,Two Triangular black objects moving low to the ground and very quickly in a northeast direction.,10/12/2001,39.4152778,-81.455
8/29/2001 22:00,choctaw,ok,us,oval,15,15 sec,LARGE OVAL CRAFT WITH HUGE BRIGHT LIGHTS NEAR  A AFB QUIET LOSE OF POWER AFTER WARD,11/20/2001,35.4975,-97.2686111
8/29/2003 13:15,scarborough (canada),on,ca,light,240,3-4 minutes,9 --11 rusty red bands of light materialize and then dematerialize in stages above work roof,2/23/2011,43.75,-79.2
8/29/2003 23:45,margate,fl,us,fireball,1200,20 mins +,I recorded an object that was glowing brighter than a star. I thought it was Mars and I recently saw a story on the local news about a,9/4/2003,26.2441667,-80.2066667
8/29/2004 10:35,corinth,ky,us,triangle,180,2-3 minutes,Triangular object with lights on each tip that switch patterns and hover ; seen on I 75 near  Corinth&#44 KY,9/1/2004,38.4966667,-84.5641667
8/29/2004 15:15,new york city (brooklyn),ny,us,circle,180,about 3 mins,11 hovering objects  one very large(oval) daylight 3:15 pm Aug&#4429&#442004  very high altitude due north,9/1/2004,40.7141667,-74.0063889
8/29/2004 19:45,fremont,ca,us,rectangle,300,5 minutes,Anomalous object&#44 lacking any aerodynamic features&#44 rect./oval shape&#44 DC-10 size&#44 moving eastward.,9/1/2004,37.5483333,-121.9875
8/29/2004 21:45,baker,la,us,light,1800,30 min,2 white lights moving eratically in the sky.,9/1/2004,30.5880556,-91.1680556
8/29/2005 20:30,austin,tx,us,light,300,5 minutes,night manuevers,10/11/2005,30.2669444,-97.7427778
8/29/2005 21:00,essex (uk/england),,gb,circle,600,10 mins approx,ball of orange light moving and disappearing then reappearing.,10/11/2005,51.833333,0.583333
8/29/2006 13:25,portland,or,us,egg,1,1 second,Object seen east of Portland Airport at 1:25pm  Moving steadily south and level,10/30/2006,45.5236111,-122.675
8/29/2006 20:35,lincoln,ne,us,light,60,1 minute,I tracked a brilliant orange pulsating light moving slowly and silently for a minute&#44 then saw it disappear.,10/30/2006,40.8,-96.6666667
8/29/2006 22:00,myrtle beach,sc,us,light,3600,1 hour?,I saw glowing lights over the Atlantic for one hour from the 19th floor .,10/30/2006,33.6888889,-78.8869444
8/29/2008 22:15,cupertino,ca,us,sphere,2,1-2 seconds,Bright spherical object streaking west to east in skys over San Jose,10/31/2008,37.3230556,-122.0311111
8/29/2009 3:30,devon (canada),ab,ca,circle,5,5 seconds,bright green light above Devon&#44 Ab. stopping in the sky veering left &amp; right then out of sight fast.,12/12/2009,53.366667,-113.733333
8/29/2010 16:00,irondequoit,ny,us,cylinder,40,40 seconds,Cylinder Aerodynamic Object with 6 Glowing White Lights Seen Over Irondequoit&#44 NY&#33,11/21/2010,43.2133333,-77.58
8/29/2010 21:00,denham springs,la,us,disk,240,3-4 min.,Fireball becomes a saucer right in front of my eyes&#33&#33&#33,11/21/2010,30.4866667,-90.9561111
8/29/2010 21:00,plymouth,ma,us,triangle,10,under 10 seconds,Red and white lights&#44 Seen on Rt. 44 east shortly before Esta Rd,8/30/2010,41.9583333,-70.6677778
8/29/2011 5:45,alvin,tx,us,circle,20,20 seconds,Star Shooting towards earth and stops in mid air and make a 90 degree turn and slowly moves out of sight.,7/4/2012,29.4236111,-95.2438889
8/29/2011 20:00,gilbert,mn,us,light,300,5 minutes,Star-like spheres for past few weeks consistant every night.,10/10/2011,47.4888889,-92.4647222
8/29/2011 22:05,branson,mo,us,light,10,10seconds,saw bright light ascending,10/10/2011,36.6436111,-93.2183333
8/29/2011 22:50,morgantown,wv,us,triangle,20,20 seconds,Y-shaped or triangular object in the sky overhead&#44 traveling westward.,10/10/2011,39.6294444,-79.9561111
8/29/2012 21:00,philadelphia,pa,us,circle,90,1.5 minutes,Orange sphear seen by myself and my wife over south philadelphia.,9/24/2012,39.9522222,-75.1641667
8/29/2012 22:00,simpsonville,sc,us,sphere,3,2-3 seconds,3 Blue/Green spheres sighted by two people in Northern sky&#44 flying quickly in tight formation.,9/24/2012,34.7369444,-82.2544444
8/29/2013 9:00,nottingham (uk/england),,gb,light,60,~1 minute,2 bright lights&#44 fading in and out&#44 following the line of a chemtrail.,8/30/2013,52.966667,-1.166667
8/29/2013 20:30,kingswinford (uk/england),,gb,,180,2-3 minutes,Color changing lights dancing in the sky.,8/30/2013,52.483333,-2.183333
8/30/1997 18:00,san jose,ca,us,formation,300,5min,I saw round solid color objects flying in pairs in daylight,12/3/2004,37.3394444,-121.8938889
8/30/1999 22:30,raquette lake&#44 adirondack mts.,ny,,light,900,15 minutes,my son and I were fishing in a canoe and we noticed a light in the sky that was traveling in spurts of distance.  It was not a steady l,9/12/1999,43.854476,-74.648826
8/30/2003 13:30,seattle,wa,us,cylinder,1800,30 minutes,Shiny cylndrical object hovering over downtown Seattle,9/4/2003,47.6063889,-122.3308333
8/30/2003 20:30,london/sarnia (canada),on,,unknown,1200,20 minutes,a cloud that eminiated the colours of the rainbow but was circular,9/4/2003,42.9829,-82.289817
8/30/2003 21:00,montebello,ca,us,fireball,37800,1 1/2 hour,the red star in the sky,9/4/2003,34.0094444,-118.1044444
8/30/2003 22:00,montebello,ca,us,light,2700,45 mins,We filmed this bright red light off and on for 45 minutes or longer.Though we could visibly see the light&#44you couldn&#39t tell it was movi,9/4/2003,34.0094444,-118.1044444
8/30/2003 22:15,sandy,ut,,triangle,5,5 seconds,silent&#44 white&#44 kite-like object zooms through the sky,9/12/2003,40.5725,-111.859722
8/30/2003 23:00,nisswa,mn,us,other,600,10 minutes,A chain of lights moving slowly in the eastern sky,9/4/2003,46.5205556,-94.2883333
8/30/2003 23:00,springfield,nj,us,other,1200,20 minutes,iT LOOKED LIKE A LIT-UP HOT AIRBALLOON THAT MOVED FASTER THAN A HOT AIRBALLOON,9/9/2003,40.7230556,-74.3111111
8/30/2003 23:55,albuquerque,nm,us,light,30,30 seconds,Saw two steady red lights moving very fast&#44 very silently&#44 jerking around&#44 East to West over Albuquerque&#44 NM.,9/4/2003,35.0844444,-106.6505556
8/30/2004 14:10,englewood,co,us,sphere,300,5 minutes,Oddly-behaving white sphere once again seen in Denver area,9/1/2004,39.6477778,-104.9872222
8/30/2004 18:30,cocoa beach,fl,us,oval,7200,2 hrs,lights in the daylight sky at the time of the Atlas rocket launch on the 31st of Aug.,9/9/2004,28.3197222,-80.6077778
8/30/2004 21:45,mazarron (murcia) (spain),,,flash,60,60 seconds about,Bright white lights,9/1/2004,37.595818,-1.314735
8/30/2005 20:30,meridian,ms,us,other,3600,1 hour,I saw three bright lights&#44 came back later&#44 and they were gone.,10/11/2005,32.3641667,-88.7036111
8/30/2005 22:30,coventry (uk/england),,gb,chevron,10,10 seconds,large arrow-shaped craft over Coventry UK,10/11/2005,52.416667,-1.55
38595,incline village,nv,us,cylinder,600,10 min,rainbow color lights over Lake Tahoe area&#44 Cylinder object makes animals in area act strange and howel before apperance,9/2/2005,39.2513889,-119.9719444
8/30/2007 20:30,keokuk,ia,us,light,600,10 minutes,Sequential orange lights in night southeastern night sky Keokuk Iowa 8/30/2007,1/21/2008,40.3972222,-91.3847222
8/30/2007 20:30,seattle (above),wa,us,flash,5,5 seconds,Flash of light over Seattle similar to rocket burn&#44 moves upward quickly.  ((NUFORC Note:  Possible sighting of Iridium satellite.  PD),10/8/2007,47.6063889,-122.3308333
8/30/2007 21:00,chino hills (seen from),ca,us,circle,3,2 to 3 seconds,Blue disc moving at incredible speed high above mountain range,10/8/2007,33.8936111,-117.7263889
8/30/2009 15:00,bound brook,nj,us,rectangle,300,5 minutes,Large rectangular&#44 gray&#44 static craft spotted in Bound Brook&#44 NJ while driving on 287 South around 3:00pm on 8/30/09.,12/12/2009,40.5683333,-74.5388889
8/30/2010 5:15,valrico,fl,us,triangle,10,10 seconds,translucent pink orange colors&#44 bird shape&#44 5 of them making a formation of a triangle as they move foward on a swimming motion&#44,11/21/2010,27.9455556,-82.2580556
8/30/2010 9:40,swartz creek,mi,us,fireball,600,10 minutes,Orange fireballs resolving into something solid after slowing down.,11/21/2010,42.9572222,-83.8305556
8/30/2011 20:36,sharon,pa,us,unknown,180,1-3 minutes,Blue-tinted orb observed appearing and suddenly disappearing.  Sighted from the West Hill in Sharon&#44 PA.,10/10/2011,41.2330556,-80.4936111
8/30/2011 21:30,macon,ga,us,rectangle,180,3 minutes,Squared&#44 flying vessel over Macon&#44 GA,10/10/2011,32.8405556,-83.6325
8/30/2011 23:00,long beach,ca,us,light,7200,2 hours,UFO sighting in Long Beach&#44 one drops from the sky&#44 the other remained,10/10/2011,33.7669444,-118.1883333
8/30/2012 18:39,el cerrito,ca,us,disk,300,5 minutes,This aircraft was making maneuvers that are not physically possible by any known aircraft in all the militaries of the world.,9/24/2012,37.9158333,-122.3105556
8/30/2013 0:00,woodstock,il,us,formation,300,3-5 minutes,Large&#33&#33&#33&#33   group of  &quot;star formation&quot; lights traveling east to west&#44 fast rate of speed&#44 between stars and clouds.,9/9/2013,42.3147222,-88.4486111
8/30/2013 0:08,duck lake (canada),sk,ca,other,180,3 minutes,Red/yellow light spider looking object,9/9/2013,52.8,-106.216667
8/30/2013 21:45,haymarket,va,us,light,30,30 seconds,2 bright lights...,9/9/2013,38.8119444,-77.6366667
8/30/2013 22:30,des moines,ia,us,light,300,5 minutes,3 glowing red lights made formations and disappeared.,9/9/2013,41.6005556,-93.6088889
8/31/1991 20:00,council bluffs,ia,us,cylinder,300,5 min,Daytime sighting of a black stationary tube that looked like UFO from Star Trek Movie with the whales.,12/19/2003,41.2619444,-95.8608333
8/31/1994 2:30,stockton (south of),ca,us,circle,120,minutes,I was captured&#44 encapsulated&#44  I was one with that light&#44 the objects were light.,1/17/2004,37.9577778,-121.2897222
8/31/1997 23:00,west dennis (cape cod),ma,us,oval,60,< 1 minutes,Three &quot;oval-shaped&quot; objects&#44 in formation: one in front&#44 one directly behind&#44 one &quot;above&quot; and behind the second one.  All three appeard,1/28/1999,41.7352778,-70.1944444
8/31/2002 14:00,santa cruz,ca,us,sphere,5,5 seconds,Almost translucent sphere travelling at high speed/altitude across Santa Cruz&#44 CA during the day.,9/28/2002,36.9741667,-122.0297222
8/31/2002 17:43,canton,mi,us,other,600,10 minutes +/-,3 section Metelic object sited in Canton Michigan,9/13/2002,42.3086111,-83.4822222
8/31/2003 0:30,barrie (canada),on,ca,unknown,5,5 seconds,HBCCUFO CANADIAN REPORT:  Car enveloped in a very high intense white light&#33,9/4/2003,44.383333,-79.7
8/31/2003 0:30,picnic island (in honey harbour) (canada),on,,fireball,3,approx: 3 seconds,HBCCUFO CANADIAN REPORT:  A brilliant bright light with a slight green glow .,9/9/2003,45.989303,-81.944253
8/31/2003 1:00,montebello,ca,us,light,1200,20 minutes,This has been reported by many others.  First I saw a bright red light&#44 nearly overhead&#44 but more to the north.   I watched it for 10 m,9/9/2003,34.0094444,-118.1044444
8/31/2003 16:00,basingstoke (uk/england),,gb,cigar,1200,20 minutes,Shiny black cylindrical object close to gliders.,9/4/2003,51.266667,-1.083333
8/31/2003 21:02,la canada,ca,,other,10,5 - 10 sec.,At first I thought this was a helicopter&#44 and it may well have been&#44 but the lights were odd&#44 and didn&#39t quite fit for a helicopter.,9/4/2003,34.206818,-118.200028
8/31/2003 21:50,oakland,ca,us,triangle,4,4 sec.,three trianglular objects moving silently across entire sky before turning ((NUFORC Note:  Possible sighting of &quot;NOSS&quot; satellites.  PD),9/4/2003,37.8044444,-122.2697222
8/31/2003 23:30,mulino,or,us,triangle,60,1 minute,Triangle of white lights heading north at high altitude over Portland.  ((NUFORC Note:  Possible sighting of &quot;NOSS&quot; satellites.  PD)),9/28/2003,45.2216667,-122.5808333
8/31/2004 1:00,sea girt,nj,us,circle,5,5 seconds,Small circular light appears for a brief moment then vanishes,10/27/2004,40.1319444,-74.035
8/31/2004 7:30,raynham,ma,us,other,120,2 minutes,Low flying object with three lights flies very quickly over house;no noise.,7/5/2005,41.9486111,-71.0736111
8/31/2004 21:00,boonsboro,md,us,other,2100,35 minutes,Meteor&#44 Comet&#44 Craft breakup.    ((NUFORC Note:  Result of earlier missile launch.  PD)),9/1/2004,39.5061111,-77.6527778
8/31/2004 21:00,enterprise (canada),on,ca,other,1200,20min,A fuzzy cloud like formation.Visible as wroughly moon sized 50 deg up in w sky rising to 80 deg ((NUFORC Note:  Missile launch.  PD)),9/1/2004,60.55,-116.133333
8/31/2004 21:00,galeton,pa,us,egg,600,8-10 mins,comet shaped object hovering in the sky.    ((NUFORC Note:  Result of earlier missile launch.  PD)),9/1/2004,41.7330556,-77.6422222
8/31/2004 21:15,au sable forks,ny,us,other,1500,25 minutes,Object repoted on 8/31/04 on your website    ((NUFORC Note:  Result of earlier missile launch.  PD)),9/1/2004,44.4416667,-73.675
8/31/2004 21:30,wellsboro,pa,us,other,3600,1 hour,While camping at a campground nestled between hills in North Central Pennsylvania my husband and I observed what looked like a small cl,9/9/2004,41.7486111,-77.3008333
8/31/2005 13:00,mississippi (in flight; near delta of mississippi river),ms,,rectangle,7,5-7 seconds,Passenger witnesses peculiar&#44 rectangular object track his aircraft.,10/20/2005,32.354668,-89.398528
